City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,Guerrero Negro,MX,2021-04-09 04:46:13,27.9769,-114.0611,62.47,73,1,16.78
85,Tazovskiy,RU,2021-04-09 04:48:04,67.4667,78.7,14.27,87,29,6.22
86,Hobart,AU,2021-04-09 04:48:04,-42.8794,147.3294,61.0,38,75,14.97
87,Meulaboh,ID,2021-04-09 04:48:04,4.1363,96.1285,85.68,67,89,4.83
88,Hay River,CA,2021-04-09 04:48:05,60.8156,-115.7999,10.4,67,54,3.44
89,Launceston,AU,2021-04-09 04:48:05,-41.45,147.1667,62.01,36,64,9.22
90,Maumere,ID,2021-04-09 04:48:05,-8.6199,122.2111,84.4,67,50,2.93
91,Vagur,FO,2021-04-09 04:48:06,61.4732,-6.8119,33.15,69,99,29.82
92,Port Hardy,CA,2021-04-09 04:48:06,50.6996,-127.4199,42.8,75,90,6.91
93,Aklavik,CA,2021-04-09 04:48:07,68.2191,-135.0107,-7.6,77,100,16.11
94,Dodola,ET,2021-04-09 04:48:07,6.9833,39.1833,57.58,49,46,1.43
95,Lompoc,US,2021-04-09 04:48:07,34.6391,-120.4579,51.8,82,80,9.22
96,Albany,US,2021-04-09 04:44:28,42.6001,-73.9662,57.2,58,1,12.66
97,Port Shepstone,ZA,2021-04-09 04:48:08,-30.7414,30.455,68.4,83,1,4.0
98,Leningradskiy,RU,2021-04-09 04:48:08,69.3833,178.4167,-6.54,93,14,3.78
99,Nenjiang,CN,2021-04-09 04:47:02,49.1833,125.2167,51.6,24,11,10.67
100,Atuona,PF,2021-04-09 04:45:54,-9.8,-139.0333,81.19,74,0,16.37
101,Cherskiy,RU,2021-04-09 04:48:09,68.75,161.3,14.99,70,100,4.99
102,Pangai,TO,2021-04-09 04:48:10,-19.8,-174.35,82.4,61,40,2.3
103,Newport,GB,2021-04-09 04:48:10,51.5877,-2.9984,46.0,89,100,9.46
104,Manono,CD,2021-04-09 04:48:10,-7.3,27.4167,68.07,98,100,2.71
105,Saint-Philippe,RE,2021-04-09 04:48:11,-21.3585,55.7679,84.2,61,0,2.3
106,Warri,NG,2021-04-09 04:48:05,5.5167,5.75,77.63,93,100,3.51
107,Hilo,US,2021-04-09 04:48:11,19.7297,-155.09,73.4,56,90,6.91
108,Port Alfred,ZA,2021-04-09 04:47:07,-33.5906,26.891,64.22,90,20,7.99
109,Carnarvon,AU,2021-04-09 04:48:12,-24.8667,113.6333,87.8,40,40,8.05
110,Yeppoon,AU,2021-04-09 04:48:12,-23.1333,150.7333,89.6,35,40,6.91
111,Kieta,PG,2021-04-09 04:48:12,-6.2167,155.6333,78.04,96,100,14.56
112,Nyurba,RU,2021-04-09 04:48:13,63.2842,118.3319,22.8,85,100,9.31
113,High Level,CA,2021-04-09 04:48:13,58.5169,-117.136,23.0,50,20,8.05
114,Ayabaca,PE,2021-04-09 04:48:14,-4.6398,-79.7149,49.55,96,99,1.52
115,Kodinsk,RU,2021-04-09 04:48:14,58.6881,99.1844,31.8,49,63,9.17
116,Waiouru,NZ,2021-04-09 04:48:14,-39.4833,175.6667,59.04,61,100,3.76
117,Inhambane,MZ,2021-04-09 04:48:15,-23.865,35.3833,71.6,88,20,6.53
118,San Julian,MX,2021-04-09 04:48:15,21.0167,-102.1667,69.55,20,100,15.41
119,Magistralnyy,RU,2021-04-09 04:48:15,56.1725,107.4458,38.88,63,97,11.05
120,Santa Rosa,PH,2021-04-09 04:45:42,14.3122,121.1114,89.01,58,20,6.91
121,Mahebourg,MU,2021-04-09 04:48:16,-20.4081,57.7,80.6,74,40,12.66
122,Tessalit,ML,2021-04-09 04:48:16,20.1986,1.0114,77.02,13,0,7.9
123,Cabo San Lucas,MX,2021-04-09 04:43:42,22.8909,-109.9124,73.0,61,0,8.52
124,Gannan,CN,2021-04-09 04:48:17,47.9147,123.5031,56.14,17,98,14.54
125,Shimoda,JP,2021-04-09 04:48:17,34.6667,138.95,59.0,47,40,10.36
126,Chokurdakh,RU,2021-04-09 04:48:17,70.6333,147.9167,2.17,91,100,10.67
127,Muisne,EC,2021-04-09 04:48:18,0.6,-80.0333,77.2,87,99,3.65
128,Longyearbyen,SJ,2021-04-09 04:48:18,78.2186,15.6401,24.8,86,40,6.91
129,Mayumba,GA,2021-04-09 04:48:18,-3.432,10.6554,77.07,80,100,2.53
130,Mwinilunga,ZM,2021-04-09 04:48:19,-11.7358,24.4293,58.42,89,100,3.98
131,Kropotkin,RU,2021-04-09 04:48:19,45.4375,40.5756,37.0,95,100,12.55
132,Xichang,CN,2021-04-09 04:48:19,27.8964,102.2634,80.01,22,69,4.07
133,Cap-Aux-Meules,CA,2021-04-09 04:48:20,47.3821,-61.8597,37.4,93,59,13.8
134,Pevek,RU,2021-04-09 04:48:20,69.7008,170.3133,-4.59,88,11,1.7
135,Vila,PT,2021-04-09 04:48:21,42.0304,-8.1588,54.0,93,0,10.36
136,Margate,GB,2021-04-09 04:48:21,51.3813,1.3862,42.01,80,100,3.0
137,Sasaram,IN,2021-04-09 04:48:21,24.951,84.0149,103.12,6,40,3.74
138,Lagoa,PT,2021-04-09 04:48:22,39.05,-27.9833,58.71,84,18,8.32
139,Simpang,ID,2021-04-09 04:48:22,-1.2667,104.0833,89.89,53,92,7.72
140,Waipawa,NZ,2021-04-09 04:48:23,-41.4122,175.5153,66.2,72,40,14.97
141,Homer,US,2021-04-09 04:48:23,59.6425,-151.5483,24.8,46,1,16.11
142,Medicine Hat,CA,2021-04-09 04:48:23,50.0501,-110.6683,32.0,69,1,5.75
143,Abu Kamal,SY,2021-04-09 04:48:24,34.4506,40.9171,70.3,24,57,16.6
144,Ancud,CL,2021-04-09 04:48:24,-41.8697,-73.8203,51.01,87,0,4.61
145,Iqaluit,CA,2021-04-09 04:48:24,63.7506,-68.5145,19.4,79,75,5.75
146,Stettler,CA,2021-04-09 04:48:25,52.3168,-112.7186,23.0,74,39,4.61
147,Mangrol,IN,2021-04-09 04:47:14,21.1167,70.1167,86.04,47,0,10.38
148,Dubbo,AU,2021-04-09 04:48:25,-32.25,148.6167,82.4,23,40,13.8
149,Cabedelo,BR,2021-04-09 04:48:01,-6.9811,-34.8339,75.2,100,20,5.75
150,Qaanaaq,GL,2021-04-09 04:48:26,77.484,-69.3632,9.28,69,100,5.95
151,Bilma,NE,2021-04-09 04:48:26,18.6853,12.9164,76.57,6,0,4.88
152,Mar Del Plata,AR,2021-04-09 04:48:26,-38.0023,-57.5575,66.99,92,88,3.8
153,Butaritari,KI,2021-04-09 04:48:27,3.0707,172.7902,81.34,81,58,14.99
154,Hamilton,US,2021-04-09 04:44:52,39.1834,-84.5333,60.01,90,80,9.28
155,Mangai,CD,2021-04-09 04:48:27,-4.05,19.5333,68.23,98,96,0.94
156,Aasiaat,GL,2021-04-09 04:48:28,68.7098,-52.8699,29.98,98,100,7.45
157,Te Anau,NZ,2021-04-09 04:48:28,-45.4167,167.7167,60.17,57,0,5.68
158,Khasan,RU,2021-04-09 04:48:28,42.4308,130.6434,48.25,33,1,8.93
159,Carutapera,BR,2021-04-09 04:48:29,-1.195,-46.02,75.72,93,95,6.04
160,Cairns,AU,2021-04-09 04:45:53,-16.9167,145.7667,84.2,70,100,8.05
161,Saskylakh,RU,2021-04-09 04:48:29,71.9167,114.0833,-2.49,95,99,11.61
162,Torbay,CA,2021-04-09 04:48:30,47.6666,-52.7314,41.0,100,90,14.97
163,Atherton,GB,2021-04-09 04:48:30,53.5237,-2.4935,42.01,72,100,1.01
164,Grindavik,IS,2021-04-09 04:48:31,63.8424,-22.4338,19.4,63,20,10.36
165,Rawson,AR,2021-04-09 04:48:31,-43.3002,-65.1023,60.66,62,97,13.73
166,Saint-Pierre,RE,2021-04-09 04:48:31,-21.3393,55.4781,84.2,61,0,2.3
167,Dalvik,IS,2021-04-09 04:48:32,65.9702,-18.5286,23.0,54,20,6.91
168,Yarada,IN,2021-04-09 04:48:32,17.65,83.2667,87.8,66,40,8.05
169,Kutum,SD,2021-04-09 04:48:32,14.2,24.6667,69.42,7,71,9.89
170,Port Elizabeth,ZA,2021-04-09 04:48:33,-33.918,25.5701,59.0,100,90,9.22
171,Tura,IN,2021-04-09 04:48:33,25.5198,90.2201,88.02,45,1,5.66
172,Deputatskiy,RU,2021-04-09 04:48:34,69.3,139.9,0.95,90,57,3.78
173,Camacha,PT,2021-04-09 04:48:34,33.0833,-16.3333,62.6,82,40,10.36
174,Kiyasovo,RU,2021-04-09 04:48:34,56.3491,53.1244,39.0,84,100,1.01
175,Palora,EC,2021-04-09 04:48:35,-1.7,-77.9333,65.32,97,90,2.73
176,Brzeg Dolny,PL,2021-04-09 04:48:23,51.273,16.7082,32.0,74,0,8.05
177,Kahului,US,2021-04-09 04:48:35,20.8947,-156.47,73.4,68,40,18.41
178,Namibe,AO,2021-04-09 04:48:36,-15.1961,12.1522,78.85,71,73,4.9
179,Khatanga,RU,2021-04-09 04:48:36,71.9667,102.5,3.25,85,72,6.73
180,Severo-Kurilsk,RU,2021-04-09 04:48:36,50.6789,156.125,32.14,95,100,11.68
181,Matay,EG,2021-04-09 04:48:37,28.419,30.7792,59.49,59,0,16.55
182,Muravlenko,RU,2021-04-09 04:48:37,63.7898,74.523,31.78,99,97,8.79
183,Kaduna,NG,2021-04-09 04:48:37,10.5222,7.4383,74.16,41,61,1.48
184,Teya,RU,2021-04-09 04:48:38,60.3778,92.6267,33.46,93,100,3.51
185,Vicksburg,US,2021-04-09 04:48:38,32.3526,-90.8779,66.2,82,20,6.15
186,Linjiang,CN,2021-04-09 04:48:38,41.8069,126.9078,54.64,16,0,1.81
187,Alta Floresta,BR,2021-04-09 04:48:39,-9.8756,-56.0861,70.45,98,100,3.24
188,Ulladulla,AU,2021-04-09 04:48:39,-35.35,150.4667,84.2,28,75,17.27
189,Hanko,FI,2021-04-09 04:48:39,59.8333,22.95,37.0,68,100,4.0
190,Kavaratti,IN,2021-04-09 04:48:40,10.5669,72.642,83.37,65,35,7.0
191,Aksu,CN,2021-04-09 04:48:40,41.1231,80.2644,56.5,49,21,3.78
192,Hasaki,JP,2021-04-09 04:48:40,35.7333,140.8333,64.0,25,75,11.5
193,Kesova Gora,RU,2021-04-09 04:48:41,57.5836,37.2922,30.25,84,46,7.65
194,Portland,US,2021-04-09 04:47:46,45.5234,-122.6762,48.2,46,1,9.22
195,Nchelenge,ZM,2021-04-09 04:48:41,-9.3451,28.734,65.73,89,97,4.76
196,Japura,ID,2021-04-09 04:48:42,-0.3167,102.35,90.55,54,88,5.99
197,Ahipara,NZ,2021-04-09 04:48:42,-35.1667,173.1667,63.39,91,100,11.86
198,Gilgit,PK,2021-04-09 04:48:43,35.9221,74.3087,50.52,49,42,3.36
199,Agadez,NE,2021-04-09 04:48:43,19.75,10.25,75.09,8,3,3.51
200,Yangambi,CD,2021-04-09 04:48:43,0.8102,24.4336,70.36,88,100,5.48
201,Pemba,MZ,2021-04-09 04:48:44,-12.974,40.5178,73.4,94,20,8.05
202,Bambous Virieux,MU,2021-04-09 04:48:44,-20.3428,57.7575,80.6,74,40,12.66
203,Havoysund,NO,2021-04-09 04:48:44,70.9963,24.6622,30.2,86,75,12.66
