City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
384,Bocas Del Toro,PA,9.3333,-82.25,64.99,99,100,4.0,overcast clouds
385,Laranja Da Terra,BR,-19.8989,-41.0567,63.79,94,20,3.58,few clouds
386,Dunedin,NZ,-45.8742,170.5036,57.0,45,41,8.99,scattered clouds
387,Qaqortoq,GL,60.7167,-46.0333,17.6,35,0,12.66,clear sky
388,Takoradi,GH,4.8845,-1.7554,78.4,86,80,4.88,moderate rain
389,Japura,ID,-0.3167,102.35,74.59,96,100,2.06,moderate rain
390,Tarata,BO,-17.6167,-66.0167,62.01,59,17,4.9,few clouds
391,Panguipulli,CL,-39.6333,-72.3333,48.2,100,100,1.14,overcast clouds
392,Do Gonbadan,IR,30.3586,50.7981,55.4,41,0,2.66,clear sky
393,Chara,RU,56.9064,118.2631,33.24,94,95,2.35,overcast clouds
394,Grindavik,IS,63.8424,-22.4338,39.2,75,75,25.32,broken clouds
395,Zhezkazgan,KZ,47.8043,67.7144,53.55,47,93,5.68,overcast clouds
396,Martapura,ID,-3.4167,114.85,86.0,66,20,3.44,few clouds
397,Burkburnett,US,34.0979,-98.5706,52.0,76,90,20.71,overcast clouds
398,Namatanai,PG,-3.6667,152.4333,82.35,73,95,5.21,light rain
399,Vostok,RU,46.4856,135.8833,47.88,38,87,10.65,overcast clouds
400,Uberaba,BR,-19.7483,-47.9319,66.2,94,75,8.05,broken clouds
401,Tabuk,PH,17.4189,121.4443,85.82,58,100,3.4,overcast clouds
402,Kitakyushu,JP,33.8333,130.8333,63.0,88,75,8.05,broken clouds
403,Greytown,ZA,-29.0642,30.5928,43.45,92,98,1.45,overcast clouds
404,Margate,GB,51.3813,1.3862,42.01,76,1,4.0,clear sky
405,Maarianhamina,AX,60.0973,19.9348,35.6,64,0,6.91,clear sky
406,Aksu,CN,41.1231,80.2644,60.08,43,100,6.24,overcast clouds
407,Ancud,CL,-41.8697,-73.8203,53.01,100,20,5.75,few clouds
408,Richards Bay,ZA,-28.783,32.0377,63.34,75,98,4.81,overcast clouds
409,Darhan,MN,49.4867,105.9228,48.65,32,5,15.01,clear sky
410,Zlobin,HR,45.2924,14.6541,48.2,37,20,8.05,few clouds
411,Ratanpur,IN,22.3,82.1667,85.51,21,4,2.95,clear sky
412,Anjiang,CN,27.3194,110.1031,67.75,77,100,3.0,overcast clouds
413,Oussouye,SN,12.485,-16.5469,75.2,78,0,2.3,clear sky
414,Raga,SS,8.4596,25.678,76.03,14,28,3.0,scattered clouds
415,Bulungu,CD,-4.55,18.6,71.38,94,99,1.92,overcast clouds
416,Anshun,CN,26.25,105.9333,53.78,88,100,7.2,overcast clouds
417,Nivala,FI,63.9167,24.9667,29.88,94,7,1.66,clear sky
418,Loja,EC,-3.9931,-79.2042,56.61,98,100,1.54,light rain
419,Auki,SB,-8.7676,160.7034,84.13,74,27,2.73,scattered clouds
420,Yagodnoye,RU,62.55,149.6667,23.18,66,5,4.79,clear sky
421,Bambanglipuro,ID,-7.95,110.2833,84.06,69,94,6.96,overcast clouds
422,Verkhnevilyuysk,RU,63.4453,120.3167,22.91,75,78,13.24,broken clouds
423,Victor Harbor,AU,-35.5667,138.6167,64.99,57,100,7.2,overcast clouds
