City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Tuktoyaktuk,CA,19.4,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
175,Shimanovsk,RU,45.41,clear sky,52.0,127.7,Гостиница Домашняя
178,Balakhta,RU,30.25,overcast clouds,55.38,91.6,Bereg
179,Fairlie,GB,35.01,broken clouds,55.756,-4.8556,Brisbane House Hotel
181,Nantucket,US,39.2,overcast clouds,41.2835,-70.0995,Jared Coffin House
182,Sioux Lookout,CA,37.4,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
188,Longyearbyen,SJ,12.2,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
199,Muros,ES,46.99,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
201,Vestmannaeyjar,IS,42.1,overcast clouds,63.4427,-20.2734,Glamping & Camping
208,Derzhavinsk,KZ,44.83,broken clouds,51.1,66.3167,Ooo.khim Baza
216,Severnyy,RU,39.2,scattered clouds,50.677,36.5532,Full House North Mini-Hotel
217,Palmer,US,39.2,broken clouds,42.1584,-72.3287,Wedgewood Motel
219,Olafsvik,IS,38.19,moderate rain,64.8945,-23.7142,Hotel Olafsvik
227,Kargasok,RU,21.04,clear sky,59.0556,80.8572,Hotel Kargasok
230,Potosi,BO,45.12,clear sky,-19.5836,-65.7531,Hostal La Casona Potosí
232,Asau,RO,37.0,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
236,Willmar,US,50.0,scattered clouds,45.1219,-95.0433,Lakeview Inn
237,Havre-Saint-Pierre,CA,28.4,clear sky,50.2334,-63.5986,Auberge Niapiskau
239,Stokmarknes,NO,34.0,clear sky,68.5646,14.9108,Vesterålen Kysthotell
242,Nome,US,30.99,mist,64.5011,-165.4064,Dredge 7 Inn
243,Iqaluit,CA,14.0,light snow,63.7506,-68.5145,Frobisher Inn
248,Fairbanks,US,46.4,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
249,Ronne,DK,41.0,scattered clouds,55.1009,14.7066,Griffen Spahotel
252,Coihaique,CL,45.32,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
253,Aklavik,CA,35.6,overcast clouds,68.2191,-135.0107,Aklavik Inn
254,Moose Factory,CA,32.0,clear sky,51.2585,-80.6094,Moosonee Lilypad
257,Narsaq,GL,17.6,clear sky,60.9167,-46.05,Hotel Narsaq
259,Maniitsoq,GL,6.15,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
260,Puerto Montt,CL,50.0,clear sky,-41.4698,-72.9447,Gran Hotel Vicente Costanera
261,Muravlenko,RU,14.95,broken clouds,63.7898,74.523,Hostel Rus Muravlenko
265,Petropavlovsk-Kamchatskiy,RU,41.0,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
275,Mahon,ES,50.0,few clouds,39.8885,4.2658,ARTIEM Capri
276,Nikolskoye,RU,41.0,clear sky,59.7035,30.7861,Tourist House - Sablino
279,Kirensk,RU,32.09,light snow,57.7853,108.1119,Kirenskiy Plos
281,Yar-Sale,RU,1.83,broken clouds,66.8333,70.8333,Yalemd
287,Ostersund,SE,30.2,scattered clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
289,Hovd,MN,49.46,broken clouds,48.0056,91.6419,Hotel Khovd
